Date,price_btc,price_spx,price_tech,ret_btc,ret_spx,ret_tech
,BTC-USD,^GSPC,QQQ,,,
2017-04-05,1124.780029,2352.949951,124.530441,-0.007474,-0.003055,-0.004075
2017-04-06,1182.680054,2357.489990,124.596443,0.051477,0.001930,0.000530
2017-04-07,1176.900024,2355.540039,124.530441,-0.004887,-0.000827,-0.000530
2017-04-10,1187.130005,2357.159912,124.577576,0.008692,0.000688,0.000378
2017-04-11,1205.010010,2353.780029,124.039734,0.015062,-0.001434,-0.004317
2017-04-12,1200.369995,2344.929932,123.539574,-0.003851,-0.003760,-0.004032
2017-04-13,1169.280029,2328.949951,123.048927,-0.025900,-0.006815,-0.003972
2017-04-17,1193.910034,2349.010010,124.068031,0.021064,0.008613,0.008282
2017-04-18,1211.670044,2342.189941,123.879303,0.014876,-0.002903,-0.001521
2017-04-19,1210.290039,2338.169922,124.077454,-0.001139,-0.001716,0.001600
2017-04-20,1229.079956,2355.840088,125.115433,0.015525,0.007557,0.008366
2017-04-21,1222.050049,2348.689941,125.087143,-0.005720,-0.003035,-0.000226
2017-04-24,1250.150024,2374.149902,126.596916,0.022994,0.010840,0.012070
2017-04-25,1265.489990,2388.610107,127.512291,0.012270,0.006091,0.007231
2017-04-26,1281.079956,2387.449951,127.332962,0.012319,-0.000486,-0.001406
2017-04-27,1317.729980,2388.770020,128.097321,0.028609,0.000553,0.006003
2017-04-28,1316.479980,2384.199951,128.323761,-0.000949,-0.001913,0.001768
2017-05-01,1421.599976,2388.330078,129.465576,0.079849,0.001732,0.008898
2017-05-02,1452.819946,2391.169922,129.682617,0.021961,0.001189,0.001676
2017-05-03,1490.089966,2388.129883,129.267456,0.025654,-0.001271,-0.003201
2017-05-04,1537.670044,2389.520020,129.314590,0.031931,0.000582,0.000365
2017-05-05,1555.449951,2399.290039,129.786377,0.011563,0.004089,0.003648
2017-05-08,1723.349976,2399.379883,130.069458,0.107943,0.000037,0.002181
2017-05-09,1755.359985,2396.919922,130.522430,0.018574,-0.001025,0.003483
2017-05-10,1787.130005,2399.629883,130.597946,0.018099,0.001131,0.000579
2017-05-11,1848.569946,2394.439941,130.494141,0.034379,-0.002163,-0.000795
2017-05-12,1724.239990,2390.899902,130.786606,-0.067257,-0.001478,0.002241
2017-05-15,1738.430054,2402.320068,131.201813,0.008230,0.004777,0.003175
